ward,precinct,reg_voters,total_votes,vote_category,candidate,votes
28,11,501,164,Total,Cori Bush,89
28,11,501,164,Total,Demarco Davidson,1
28,11,501,164,Total,Joshua Shipp,5
28,11,501,164,Total,Lacy Clay,69
28,11,501,0,House Votes,Cori Bush,0
28,11,501,0,House Votes,Demarco Davidson,0
28,11,501,0,House Votes,Joshua Shipp,0
28,11,501,0,House Votes,Lacy Clay,0
28,11,501,0,Provisional,Cori Bush,0
28,11,501,0,Provisional,Demarco Davidson,0
28,11,501,0,Provisional,Joshua Shipp,0
28,11,501,0,Provisional,Lacy Clay,0
28,11,501,16,Absentee,Cori Bush,10
28,11,501,16,Absentee,Demarco Davidson,0
28,11,501,16,Absentee,Joshua Shipp,0
28,11,501,16,Absentee,Lacy Clay,6
28,11,501,148,Polling,Cori Bush,79
28,11,501,148,Polling,Demarco Davidson,1
28,11,501,148,Polling,Joshua Shipp,5
28,11,501,148,Polling,Lacy Clay,63
28,10,1016,394,Total,Cori Bush,198
28,10,1016,394,Total,Demarco Davidson,5
28,10,1016,394,Total,Joshua Shipp,11
28,10,1016,394,Total,Lacy Clay,180
28,10,1016,0,House Votes,Cori Bush,0
28,10,1016,0,House Votes,Demarco Davidson,0
28,10,1016,0,House Votes,Joshua Shipp,0
28,10,1016,0,House Votes,Lacy Clay,0
28,10,1016,0,Provisional,Cori Bush,0
28,10,1016,0,Provisional,Demarco Davidson,0
28,10,1016,0,Provisional,Joshua Shipp,0
28,10,1016,0,Provisional,Lacy Clay,0
28,10,1016,39,Absentee,Cori Bush,15
28,10,1016,39,Absentee,Demarco Davidson,0
28,10,1016,39,Absentee,Joshua Shipp,3
28,10,1016,39,Absentee,Lacy Clay,21
28,10,1016,355,Polling,Cori Bush,183
28,10,1016,355,Polling,Demarco Davidson,5
28,10,1016,355,Polling,Joshua Shipp,8
28,10,1016,355,Polling,Lacy Clay,159
28,9,507,210,Total,Cori Bush,134
28,9,507,210,Total,Demarco Davidson,3
28,9,507,210,Total,Joshua Shipp,10
28,9,507,210,Total,Lacy Clay,63
28,9,507,0,House Votes,Cori Bush,0
28,9,507,0,House Votes,Demarco Davidson,0
28,9,507,0,House Votes,Joshua Shipp,0
28,9,507,0,House Votes,Lacy Clay,0
28,9,507,0,Provisional,Cori Bush,0
28,9,507,0,Provisional,Demarco Davidson,0
28,9,507,0,Provisional,Joshua Shipp,0
28,9,507,0,Provisional,Lacy Clay,0
28,9,507,10,Absentee,Cori Bush,7
28,9,507,10,Absentee,Demarco Davidson,0
28,9,507,10,Absentee,Joshua Shipp,0
28,9,507,10,Absentee,Lacy Clay,3
28,9,507,200,Polling,Cori Bush,127
28,9,507,200,Polling,Demarco Davidson,3
28,9,507,200,Polling,Joshua Shipp,10
28,9,507,200,Polling,Lacy Clay,60
28,8,1033,365,Total,Cori Bush,213
28,8,1033,365,Total,Demarco Davidson,4
28,8,1033,365,Total,Joshua Shipp,7
28,8,1033,365,Total,Lacy Clay,141
28,8,1033,0,House Votes,Cori Bush,0
28,8,1033,0,House Votes,Demarco Davidson,0
28,8,1033,0,House Votes,Joshua Shipp,0
28,8,1033,0,House Votes,Lacy Clay,0
28,8,1033,1,Provisional,Cori Bush,1
28,8,1033,1,Provisional,Demarco Davidson,0
28,8,1033,1,Provisional,Joshua Shipp,0
28,8,1033,1,Provisional,Lacy Clay,0
28,8,1033,25,Absentee,Cori Bush,18
28,8,1033,25,Absentee,Demarco Davidson,0
28,8,1033,25,Absentee,Joshua Shipp,0
28,8,1033,25,Absentee,Lacy Clay,7
28,8,1033,339,Polling,Cori Bush,194
28,8,1033,339,Polling,Demarco Davidson,4
28,8,1033,339,Polling,Joshua Shipp,7
28,8,1033,339,Polling,Lacy Clay,134
28,7,613,240,Total,Cori Bush,118
28,7,613,240,Total,Demarco Davidson,2
28,7,613,240,Total,Joshua Shipp,5
28,7,613,240,Total,Lacy Clay,115
28,7,613,0,House Votes,Cori Bush,0
28,7,613,0,House Votes,Demarco Davidson,0
28,7,613,0,House Votes,Joshua Shipp,0
28,7,613,0,House Votes,Lacy Clay,0
28,7,613,0,Provisional,Cori Bush,0
28,7,613,0,Provisional,Demarco Davidson,0
28,7,613,0,Provisional,Joshua Shipp,0
28,7,613,0,Provisional,Lacy Clay,0
28,7,613,13,Absentee,Cori Bush,7
28,7,613,13,Absentee,Demarco Davidson,0
28,7,613,13,Absentee,Joshua Shipp,0
28,7,613,13,Absentee,Lacy Clay,6
28,7,613,227,Polling,Cori Bush,111
28,7,613,227,Polling,Demarco Davidson,2
28,7,613,227,Polling,Joshua Shipp,5
28,7,613,227,Polling,Lacy Clay,109
28,6,823,344,Total,Cori Bush,187
28,6,823,344,Total,Demarco Davidson,3
